time,type,measurementId,measurementValue
2023-11-02T16:33:47Z,Barometric Pressure,4101,98660
2023-11-02T16:33:47Z,Light Intensity,4099,0
2023-11-02T16:33:47Z,Rain Gauge,4113,0
2023-11-02T16:33:47Z,UV Index,4190,0
2023-11-02T16:33:47Z,Wind Direction Sensor,4104,114
2023-11-02T16:33:47Z,Wind Speed,4105,0
2023-11-02T16:18:40Z,Air Humidity,4098,99
2023-11-02T16:18:40Z,Air Temperature,4097,13.3
2023-11-02T16:18:40Z,Barometric Pressure,4101,98710
2023-11-02T16:18:40Z,Light Intensity,4099,44
2023-11-02T16:18:40Z,Rain Gauge,4113,0
2023-11-02T16:18:40Z,UV Index,4190,0
2023-11-02T16:18:40Z,Wind Direction Sensor,4104,114
2023-11-02T16:18:40Z,Wind Speed,4105,0
2023-11-02T16:03:33Z,Air Humidity,4098,99
2023-11-02T16:03:33Z,Air Temperature,4097,13.4
2023-11-02T16:03:33Z,Barometric Pressure,4101,98760
2023-11-02T16:03:33Z,Light Intensity,4099,385
2023-11-02T16:03:33Z,Rain Gauge,4113,0
2023-11-02T16:03:33Z,UV Index,4190,0
2023-11-02T16:03:33Z,Wind Direction Sensor,4104,114
2023-11-02T16:03:33Z,Wind Speed,4105,0
2023-11-02T15:48:28Z,Air Humidity,4098,99
2023-11-02T15:48:28Z,Air Temperature,4097,13.3
2023-11-02T15:48:28Z,Barometric Pressure,4101,98810
2023-11-02T15:48:28Z,Light Intensity,4099,792
2023-11-02T15:48:28Z,Rain Gauge,4113,1.524
2023-11-02T15:48:28Z,UV Index,4190,0
2023-11-02T15:48:28Z,Wind Direction Sensor,4104,114
2023-11-02T15:48:28Z,Wind Speed,4105,0
2023-11-02T15:33:21Z,Air Humidity,4098,99
2023-11-02T15:33:21Z,Air Temperature,4097,13.3
2023-11-02T15:33:21Z,Barometric Pressure,4101,98830
2023-11-02T15:33:21Z,Light Intensity,4099,251
2023-11-02T15:33:21Z,Rain Gauge,4113,1.524
2023-11-02T15:33:21Z,UV Index,4190,0
2023-11-02T15:33:21Z,Wind Direction Sensor,4104,114
2023-11-02T15:33:21Z,Wind Speed,4105,0
2023-11-02T15:18:14Z,Air Humidity,4098,99
2023-11-02T15:18:14Z,Air Temperature,4097,13.3
2023-11-02T15:18:14Z,Barometric Pressure,4101,98900
2023-11-02T15:18:14Z,Light Intensity,4099,307
2023-11-02T15:18:14Z,Rain Gauge,4113,3.048
2023-11-02T15:18:14Z,UV Index,4190,0
2023-11-02T15:18:14Z,Wind Direction Sensor,4104,117
2023-11-02T15:18:14Z,Wind Speed,4105,0
2023-11-02T15:03:08Z,Air Humidity,4098,99
2023-11-02T15:03:08Z,Air Temperature,4097,13.2
2023-11-02T15:03:08Z,Barometric Pressure,4101,98880
2023-11-02T15:03:08Z,Light Intensity,4099,331
2023-11-02T15:03:08Z,Rain Gauge,4113,3.048
2023-11-02T15:03:08Z,UV Index,4190,0
2023-11-02T15:03:08Z,Wind Direction Sensor,4104,286
2023-11-02T15:03:08Z,Wind Speed,4105,0
2023-11-02T14:48:02Z,Air Humidity,4098,99
2023-11-02T14:48:02Z,Air Temperature,4097,13.2
2023-11-02T14:48:02Z,Barometric Pressure,4101,98860
2023-11-02T14:48:02Z,Light Intensity,4099,1020
2023-11-02T14:48:02Z,Rain Gauge,4113,1.524
2023-11-02T14:48:02Z,UV Index,4190,0
2023-11-02T14:48:02Z,Wind Direction Sensor,4104,86
2023-11-02T14:48:02Z,Wind Speed,4105,2.4
2023-11-02T14:32:55Z,Air Humidity,4098,99
2023-11-02T14:32:55Z,Air Temperature,4097,12.7
2023-11-02T14:32:55Z,Barometric Pressure,4101,99010
2023-11-02T14:32:55Z,Light Intensity,4099,1689
2023-11-02T14:32:55Z,Rain Gauge,4113,7.62
2023-11-02T14:32:55Z,UV Index,4190,0
2023-11-02T14:32:55Z,Wind Direction Sensor,4104,282
2023-11-02T14:32:55Z,Wind Speed,4105,0.9
2023-11-02T14:17:49Z,Air Humidity,4098,99
2023-11-02T14:17:49Z,Air Temperature,4097,12.6
2023-11-02T14:17:49Z,Barometric Pressure,4101,98970
2023-11-02T14:17:49Z,Light Intensity,4099,2253
2023-11-02T14:17:49Z,Rain Gauge,4113,3.048
2023-11-02T14:17:49Z,UV Index,4190,0
2023-11-02T14:17:49Z,Wind Direction Sensor,4104,60
2023-11-02T14:17:49Z,Wind Speed,4105,1.6
2023-11-02T14:02:43Z,Air Humidity,4098,99
2023-11-02T14:02:43Z,Air Temperature,4097,12.5
2023-11-02T14:02:43Z,Barometric Pressure,4101,99040
2023-11-02T14:02:43Z,Light Intensity,4099,5465
2023-11-02T14:02:43Z,Rain Gauge,4113,4.572
2023-11-02T14:02:43Z,UV Index,4190,0
